"","sofifa_id","player_url","short_name","age","height_cm","weight_kg","nationality","club","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","weak_foot","skill_moves","work_rate","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes"
"1",225100,"https://sofifa.com/player/225100/joe-gomez/20/159586","J. Gomez",22,188,77,"England","Liverpool",80,88,20000000,73000,"CB, RB","Right",3,3,"Medium/Medium",41000000,"","RCB",12,"","2015-06-20",2024,81,30,64,68,79,76,NA,NA,NA,NA,NA,NA,"Inflexible, Power Free-Kick",69,26,71,74,24,67,41,29,62,70,76,85,64,79,66,41,66,74,79,26,73,81,51,56,26,72,79,82,78,8,13,14,7,7
"2",213661,"https://sofifa.com/player/213661/andreas-christensen/20/159586","A. Christensen",23,187,81,"Denmark","Chelsea",80,87,19000000,85000,"CB","Right",3,2,"Low/Medium",39900000,"","RCB",4,"","2013-04-10",2022,68,31,63,68,82,72,NA,NA,NA,NA,NA,NA,"",49,36,80,77,25,66,32,22,71,73,65,70,61,78,61,31,73,68,73,20,73,82,32,62,36,77,80,84,82,10,12,8,6,8
"3",229880,"https://sofifa.com/player/229880/aaron-wan-bissaka/20/159586","A. Wan-Bissaka",21,183,72,"England","Manchester United",79,88,17500000,71000,"RB","Right",2,4,"Medium/High",36800000,"","RB",29,"","2019-06-29",2024,87,50,63,78,80,72,NA,NA,NA,NA,NA,NA,"Injury Prone",68,44,58,70,43,80,47,45,56,75,86,88,84,75,71,64,62,77,69,46,78,80,65,61,56,73,81,83,86,9,8,6,8,8
"4",237678,"https://sofifa.com/player/237678/ibrahima-konate/20/159586","I. Konaté",20,192,93,"France","RB Leipzig",79,88,18000000,36000,"CB","Right",2,3,"High/High",34200000,"","CB",6,"","2017-07-01",2023,78,27,54,68,80,78,NA,NA,NA,NA,NA,NA,"",35,21,77,75,28,69,28,23,67,69,71,84,65,71,55,37,74,68,83,25,77,78,33,41,41,74,76,85,79,9,7,9,9,15
"5",226229,"https://sofifa.com/player/226229/thilo-kehrer/20/159586","T. Kehrer",22,186,76,"Germany","Paris Saint-Germain",79,86,16000000,61000,"CB, RB","Right",5,3,"Medium/High",32800000,"","RB",4,"","2018-08-16",2023,74,44,65,67,78,76,NA,NA,NA,NA,NA,NA,"Injury Prone",64,37,76,75,32,65,54,38,66,69,73,75,69,76,65,65,81,77,72,40,85,77,53,59,41,78,75,81,83,9,9,14,10,12
"6",242236,"https://sofifa.com/player/242236/francisco-reis-ferreira/20/159586","Ferro",22,192,78,"Portugal","SL Benfica",78,87,14500000,12000,"CB","Right",2,2,"Medium/Medium",31900000,"","LCB",97,"","2016-02-01",2023,54,43,56,63,80,76,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",30,26,77,74,28,64,33,27,73,68,44,63,41,77,51,81,66,77,74,45,84,79,52,49,38,76,81,82,74,8,7,9,13,12
"7",224221,"https://sofifa.com/player/224221/joachim-andersen/20/159586","J. Andersen",23,192,90,"Denmark","Olympique Lyonnais",78,86,14000000,50000,"CB","Right",3,2,"Medium/High",29400000,"#Strength","RCB",3,"","2019-07-12",2024,60,40,54,55,78,79,NA,NA,NA,NA,NA,NA,"Leadership",36,40,77,68,33,48,40,36,67,64,60,60,52,73,58,48,77,66,86,38,76,77,28,48,44,71,79,79,76,13,7,9,15,14
"8",231633,"https://sofifa.com/player/231633/issa-diop/20/159586","I. Diop",22,194,92,"France","West Ham United",78,86,14000000,59000,"CB","Right",3,2,"Medium/Medium",29400000,"#Aerial Threat","LCB",23,"","2018-06-20",2023,67,36,52,55,79,79,NA,NA,NA,NA,NA,NA,"Leadership",37,30,75,67,48,50,32,34,63,63,64,70,52,73,47,50,74,69,84,31,78,79,42,43,44,72,78,80,81,10,7,6,14,9
"9",227813,"https://sofifa.com/player/227813/oleksandr-zinchenko/20/159586","O. Zinchenko",22,175,64,"Ukraine","Manchester City",78,85,13000000,82000,"LB","Left",3,3,"Medium/Medium",26700000,"","LB",11,"","2016-07-04",2024,71,66,80,79,77,66,NA,NA,NA,NA,NA,NA,"Selfish, Argues with Officials",81,59,70,82,61,79,80,74,77,81,73,69,77,77,78,77,72,74,59,71,70,77,75,78,59,76,78,79,75,15,11,13,11,11
"10",228881,"https://sofifa.com/player/228881/davide-calabria/20/159586","D. Calabria",22,176,70,"Italy","Milan",77,87,13000000,29000,"RB","Right",3,3,"Medium/Medium",24700000,"","RB",2,"","2015-07-01",2022,76,43,68,74,76,69,NA,NA,NA,NA,NA,NA,"",79,30,64,75,58,73,76,48,68,74,78,74,81,74,78,62,68,79,60,48,78,77,42,50,48,74,78,78,77,8,14,15,12,7
